Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINJ20,09/04/2020,17:50:00,78055.00,78190.00,77960.00,78190.00,385240061.70,24670
WINJ20,09/04/2020,17:45:00,77965.00,78075.00,77930.00,78055.00,354900519.20,22751
WINJ20,09/04/2020,17:40:00,77895.00,78000.00,77885.00,77960.00,450025128.60,28867
WINJ20,09/04/2020,17:35:00,77835.00,77945.00,77790.00,77895.00,378898782.60,24334
WINJ20,09/04/2020,17:30:00,77860.00,77900.00,77800.00,77835.00,430887799.40,27673
WINJ20,09/04/2020,17:25:00,77785.00,77895.00,77755.00,77860.00,424593139.30,27284
WINJ20,09/04/2020,17:20:00,77855.00,77900.00,77750.00,77780.00,544903517.10,35010
WINJ20,09/04/2020,17:15:00,77790.00,77915.00,77785.00,77860.00,533395580.90,34260
WINJ20,09/04/2020,17:10:00,77910.00,77945.00,77725.00,77790.00,790055659.60,50765
WINJ20,09/04/2020,17:05:00,77955.00,77970.00,77850.00,77910.00,649914906.60,41714
WINJ20,09/04/2020,17:00:00,77985.00,78025.00,77790.00,77960.00,1340580319.00,86030
WINJ20,09/04/2020,16:55:00,78140.00,78165.00,77830.00,77985.00,1680354892.00,107728
WINJ20,09/04/2020,16:50:00,77895.00,78145.00,77890.00,78140.00,1717362294.00,110059
WINJ20,09/04/2020,16:45:00,78190.00,78240.00,77880.00,77890.00,1598476179.00,102366
WINJ20,09/04/2020,16:40:00,78100.00,78390.00,78040.00,78190.00,1800054813.00,115076
WINJ20,09/04/2020,16:35:00,78240.00,78265.00,77925.00,78100.00,1802322746.00,115419
WINJ20,09/04/2020,16:30:00,78130.00,78410.00,78125.00,78235.00,2121059819.00,135478
WINJ20,09/04/2020,16:25:00,77845.00,78135.00,77845.00,78130.00,1713915190.00,109898
WINJ20,09/04/2020,16:20:00,78075.00,78120.00,77840.00,77845.00,1704735163.00,109347
WINJ20,09/04/2020,16:15:00,78110.00,78200.00,78020.00,78075.00,1319481071.00,84459
WINJ20,09/04/2020,16:10:00,78100.00,78220.00,78015.00,78110.00,1852950275.00,118606
WINJ20,09/04/2020,16:05:00,77930.00,78115.00,77800.00,78100.00,2021216106.00,129586
WINJ20,09/04/2020,16:00:00,77750.00,77985.00,77715.00,77930.00,1987221279.00,127650
WINJ20,09/04/2020,15:55:00,77565.00,77765.00,77420.00,77750.00,2090066524.00,134722
WINJ20,09/04/2020,15:50:00,77825.00,77865.00,77540.00,77565.00,1896539339.00,122032
