Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINM20,17/04/2020,17:50:00,79180,79300,79065,79300,554117715.19,34997
WINM20,17/04/2020,17:45:00,79105,79210,79095,79175,403631072.95,25500
WINM20,17/04/2020,17:40:00,79075,79180,79075,79105,432324220.37,27320
WINM20,17/04/2020,17:35:00,79060,79165,79030,79075,677877062.00,42857
WINM20,17/04/2020,17:30:00,79190,79215,79050,79060,616232161.08,38943
WINM20,17/04/2020,17:25:00,79165,79255,79135,79190,622325229.14,39290
WINM20,17/04/2020,17:20:00,79090,79185,79040,79165,561906390.26,35511
WINM20,17/04/2020,17:15:00,79160,79190,79055,79095,506428741.44,32004
WINM20,17/04/2020,17:10:00,79090,79215,78975,79160,1274482121.75,80543
WINM20,17/04/2020,17:05:00,79235,79335,79075,79090,1273765151.72,80382
WINM20,17/04/2020,17:00:00,79225,79285,79110,79235,1235038725.17,77972
WINM20,17/04/2020,16:55:00,79100,79275,78970,79220,2189463579.23,138374
WINM20,17/04/2020,16:50:00,78905,79165,78905,79100,2320704432.23,146716
WINM20,17/04/2020,16:45:00,78820,78975,78805,78910,1248518743.38,79139
WINM20,17/04/2020,16:40:00,78800,78935,78745,78825,1527375485.46,96865
WINM20,17/04/2020,16:35:00,78805,78850,78725,78800,1148873279.90,72910
WINM20,17/04/2020,16:30:00,78705,78880,78650,78805,1502885312.04,95365
WINM20,17/04/2020,16:25:00,78585,78805,78575,78705,1506874759.08,95712
WINM20,17/04/2020,16:20:00,78660,78695,78540,78590,891185402.08,56678
WINM20,17/04/2020,16:15:00,78540,78690,78505,78660,1284061300.86,81667
WINM20,17/04/2020,16:10:00,78560,78585,78485,78540,824030027.12,52465
WINM20,17/04/2020,16:05:00,78565,78615,78480,78560,1202986047.71,76581
WINM20,17/04/2020,16:00:00,78620,78735,78505,78570,1993938286.30,126809
WINM20,17/04/2020,15:55:00,78335,78640,78305,78625,1798766325.43,114556
WINM20,17/04/2020,15:50:00,78375,78420,78270,78335,1178866088.38,75238
WINM20,17/04/2020,15:45:00,78275,78440,78255,78380,1286541096.94,82085
WINM20,17/04/2020,15:40:00,78305,78355,78180,78275,991472181.64,63351
WINM20,17/04/2020,15:35:00,78300,78330,78145,78300,1313502474.40,83933
WINM20,17/04/2020,15:30:00,78225,78385,78060,78305,2142527465.65,136987
WINM20,17/04/2020,15:25:00,78160,78350,78140,78230,1457066635.49,93118
WINM20,17/04/2020,15:20:00,78055,78270,78025,78155,1328823168.57,84999
WINM20,17/04/2020,15:15:00,78040,78095,77950,78055,1271042836.79,81449
WINM20,17/04/2020,15:10:00,78175,78250,77945,78035,2208038234.65,141386
WINM20,17/04/2020,15:05:00,78190,78220,78085,78180,1122506610.59,71807
WINM20,17/04/2020,15:00:00,78280,78300,78055,78185,2174517992.14,139093
WINM20,17/04/2020,14:55:00,78215,78325,78160,78280,1322756118.51,84528
WINM20,17/04/2020,14:50:00,78275,78430,78125,78220,2488219788.66,158971
WINM20,17/04/2020,14:45:00,78650,78655,78200,78270,3153774145.37,201061
WINM20,17/04/2020,14:40:00,78960,79020,78650,78655,1781391469.19,112960
WINM20,17/04/2020,14:35:00,78890,78985,78830,78960,971384789.32,61552
WINM20,17/04/2020,14:30:00,78800,79015,78790,78885,1474308164.72,93413
