Ativo,Data,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINM20,20/04/2020,76890.00,80455.00,76780.00,79550.00,1.765626063E11,11237363
WINM20,17/04/2020,81000.00,81000.00,77945.00,79300.00,1.710189682E11,10812650
WINM20,16/04/2020,79950.00,80400.00,77635.00,79365.00,1.854661052E11,11772727
WINM20,15/04/2020,78115.00,80280.00,77810.00,79520.00,1.604837296E11,10153544
WINM20,14/04/2020,80575.00,81965.00,79890.00,80200.00,1124314232.00,69500
WINM20,13/04/2020,77700.00,79645.00,76600.00,79500.00,78813875.00,5050
WINM20,09/04/2020,78790.00,80700.00,77775.00,78415.00,19122394.00,1223
WINM20,08/04/2020,76550.00,79300.00,76550.00,79300.00,11099311.00,703
WINM20,07/04/2020,79185.00,80000.00,76500.00,76700.00,2830654.00,183
WINM20,06/04/2020,75105.00,75875.00,74180.00,74700.00,2130483.00,142
WINM20,03/04/2020,72475.00,72475.00,68500.00,69300.00,458430.00,33
WINM20,02/04/2020,72995.00,72995.00,72000.00,72475.00,809833.00,56
WINM20,01/04/2020,69700.00,71645.00,69700.00,71000.00,662139.00,47
WINM20,31/03/2020,74905.00,74910.00,72800.00,72850.00,249143.00,17
WINM20,27/03/2020,74200.00,74200.00,74000.00,74000.00,44480.00,3
WINM20,26/03/2020,76845.00,79000.00,76000.00,76400.00,292612.00,19
WINM20,25/03/2020,70000.00,71425.00,70000.00,71425.00,84785.00,6
WINM20,24/03/2020,67315.00,71210.00,67315.00,69750.00,399418.00,29
WINM20,23/03/2020,64505.00,64505.00,63000.00,64250.00,469955.00,37
WINM20,20/03/2020,70500.00,72500.00,67000.00,67605.00,305662.00,22
WINM20,19/03/2020,65495.00,68640.00,64885.00,68015.00,80805.00,6
WINM20,18/03/2020,70100.00,70100.00,63885.00,68065.00,322005.00,24
WINM20,17/03/2020,73755.00,77030.00,72515.00,73995.00,690979.00,46
WINM20,16/03/2020,74895.00,75155.00,70735.00,70735.00,251020.00,17
WINM20,13/03/2020,79100.00,83005.00,74000.00,82135.00,4468805.00,279
WINM20,12/03/2020,76875.00,76875.00,72970.00,72970.00,946361.00,62
WINM20,11/03/2020,90275.00,90985.00,81130.00,81985.00,4070903.00,239
WINM20,10/03/2020,90290.00,93070.00,87800.00,93070.00,5940129.00,331
WINM20,09/03/2020,89090.00,90800.00,89090.00,89090.00,3043066.00,170
WINM20,06/03/2020,101000.00,101000.00,97815.00,98715.00,27914089.00,1411
WINM20,05/03/2020,106740.00,107030.00,101995.00,102690.00,9582920.00,456
WINM20,04/03/2020,108210.00,108985.00,106100.00,108205.00,23613075.00,1094
WINM20,03/03/2020,108365.00,110010.00,105475.00,106480.00,18619173.00,863
WINM20,02/03/2020,104200.00,108200.00,103845.00,107925.00,18160644.00,853
WINM20,28/02/2020,101860.00,105425.00,101010.00,105425.00,21606514.00,1050
WINM20,27/02/2020,104655.00,107855.00,103900.00,103900.00,20032071.00,947
WINM20,26/02/2020,109500.00,109730.00,106295.00,106920.00,9357116.00,433
WINM20,21/02/2020,115215.00,115215.00,113995.00,114960.00,21297512.00,929
WINM20,20/02/2020,117670.00,117960.00,115750.00,115880.00,11856728.00,507
WINM20,19/02/2020,116790.00,117985.00,116100.00,117860.00,9766342.00,416
WINM20,18/02/2020,115705.00,116500.00,114960.00,116500.00,6776630.00,293
WINM20,17/02/2020,116300.00,117050.00,116175.00,116540.00,16156164.00,692
WINM20,14/02/2020,117355.00,117445.00,115685.00,115880.00,7924730.00,340
WINM20,13/02/2020,117350.00,117500.00,116385.00,116855.00,5895814.00,252
